name,free_returns,items_sold,price,status,shipping
Peet's Major Dickason's Blend Whole Bean Coffee 3 Packages Dark Roast,False,,2400,Brand New,0
Starbucks 6 Pack 2021 THANKSGIVING Dark Roast Whole Bean Coffee RARE BBD 3/2022,False,,1899,Brand New,2423
 Colombian Supremo Arabica Dark Roasted Coffee Beans 2 Units 1 Pound Bags ,True,345,2995,Brand New,349
6 Bags Starbucks Colombia Blend Ground 100% Arabica Coffee 12Oz View Info,False,,3997,Brand New,0
"Instant Herbal Beverage with Dandelion, Caffeine Free, 2 lbs (908 g)",False,249,3373,Brand New,0
Kahlua Hazelnut Gourmet Ground Coffee 3 BAGS 12oz EACH,False,68,2799,Brand New,0
Crazy Cups Decaf Flavored Coffee For Keurig K Cup Variety Pack Sampler 50 ct,True,549,3249,Brand New,0
"Flavored Coffee Cups For Keurig K cup Brewers Variety Pack Sampler, 40ct",True,1177,2699,Brand New,0
Starbucks (12 Pack) Espresso Roast 8.8oz Dark Roast Whole Bean Coffee Bags!,True,0,3999,Brand New,0
Keurig Kcups Pods Assorted Flavors Different Flavors Custom Variety Coffee Tea,False,98,99115,Brand New,199
"Community Coffee Ground Dark Roast, Signature Blend 46 oz. Roasted In Louisiana",False,27,2291,Brand New,300
Starbucks Breakfast Blend Ground Coffee Medium 18 Packs 2.5oz Each 09/2020!,False,285,1599,Brand New,0
"Dunkin' Donuts Original Blend Ground Coffee, Medium Roast (3 PACK x 45 oz.)",False,0,6299,Brand New,0
Starbucks Veranda Coffee Blonde Roast Ground 18 Packs 2.5oz BBD 7/29/2020,False,,1799,Brand New,0
"Starbucks Veranda Blend Ground Coffee, Blonde Roast K-Cups 40 Ct. BB 9/22",False,0,2412,Brand New,0
"New Folgers Simply Smooth Decaf Ground Coffee, Mild Roast, 11.5 Ounce ",False,,896,Brand New,0
Trung Nguyen Premium Blend Ground Coffee 15 oz Can,False,,1499,Brand New,0
"1 Kg , 2.2 Lb Vilar Espresso Coffee Beans Medium or Dark Roast - Classic Blend ",True,,17001899,Brand New,0
Sumatra SHB Arabica Coffee Beans Dark Roasted Espresso 2 Units 1 Pound Bags  ,True,1069,2995,Brand New,349
Starbucks Sumatra Dark Roast Whole Bean Coffee - 12oz - Exp. 02/2022 - (6-Bags),True,,3799,Brand New,0
Simpatico Low Acid Coffee - FreeShip,False,,1449,Brand New,0
Eight O'Clock Whole Bean Colombian Coffee Medium Roast 40 oz,True,,2269,Brand New,0
STARBUCKS VIA Pike Place Instant Medium Roast Coffee 104 ct  AUG 2022,False,74,2399,Brand New,0
Coffee El Nakhleh Black Turkish Coffee with Cardamom Turkish Arabic Coffee,True,,12993699,Brand New,0
Colombian Coffee 100% Arabica,False,,795,Brand New,0
"Kirkland Signature Breakfast Blend, Organic Light Roast Coffee, 120 Count",False,666,3995,Brand New,0
dunkindonuts whole bean coffee 5 Pound (Free Shipping),False,0,5000,Brand New,0
Starbucks Via Instant Medium Roast Colombia Coffee 26Count x 3.3g --- Fresh Date,False,,2299,Brand New,0
